Market,Daily Newsletter Readers,IG Followers,Monthly Web Users,BizBrief Readers
6AM City,556640,1013503,271850,166937
865,4807,1272,1709,
ATX,28835,84232,19290,
AVL,29371,76736,23733,24669
CHS,29373,110278,20726,26413
CLT,14063,25320,10603,10287
COLA,23912,60070,19761,21428
FTW,19895,45689,11610,
GVL,37577,122248,26200,31587
INDY,21147,49244,14883,
LAL,15843,45751,15599,
LEX,21533,34259,16779,
LOU,17726,49660,13559,
NASH,24642,83188,12072,18945
NOOGA,22988,57353,21794,
NOVA,8328,2246,2613,
RAL,26400,71235,12051,23720
RIC,18364,68243,14454,
TBAY,17808,18043,6363,
WS,12155,8436,8051,9888
